treatment,session,subject,period,board,expect,box,result,boardtype
independent,140311_1256,2,10,yellow,3,86,miss,high
independent,140311_1256,3,10,yellow,2,86,miss,high
independent,140311_1256,4,10,yellow,4,86,miss,high
independent,140311_1256,5,10,yellow,2,86,miss,high
independent,140311_1256,6,10,yellow,2,86,miss,high
independent,140311_1256,7,10,yellow,5,86,miss,high
independent,140311_1256,8,10,yellow,1,86,miss,high
independent,140311_1256,9,10,yellow,2,86,miss,high
independent,140311_1551,2,1,blue,10,78,miss,low
independent,140311_1551,3,1,blue,7,78,miss,low
independent,140311_1551,4,1,blue,7,78,miss,low
independent,140311_1551,5,1,blue,2,78,miss,low
independent,140311_1551,6,1,blue,5,78,miss,low
independent,140311_1551,7,1,blue,7,78,miss,low
independent,140311_1551,8,1,blue,5,78,miss,low
independent,140311_1551,9,1,blue,7,78,miss,low
independent,140311_1551,2,2,yellow,10,98,miss,high
independent,140311_1551,3,2,yellow,8,98,miss,high
independent,140311_1551,4,2,yellow,10,98,miss,high
independent,140311_1551,5,2,yellow,2,98,miss,high
independent,140311_1551,6,2,yellow,4,98,miss,high
independent,140311_1551,7,2,yellow,3,98,miss,high
independent,140311_1551,8,2,yellow,3,98,miss,high
independent,140311_1551,9,2,yellow,6,98,miss,high
independent,140311_1551,2,3,yellow,10,89,miss,high
independent,140311_1551,3,3,yellow,4,89,miss,high
independent,140311_1551,4,3,yellow,10,89,miss,high
independent,140311_1551,5,3,yellow,2,89,miss,high
independent,140311_1551,6,3,yellow,4,89,miss,high
independent,140311_1551,7,3,yellow,3,89,miss,high
independent,140311_1551,8,3,yellow,4,89,miss,high
independent,140311_1551,9,3,yellow,7,89,miss,high
independent,140311_1551,2,4,blue,6,47,miss,low
independent,140311_1551,3,4,blue,6,47,miss,low
independent,140311_1551,4,4,blue,10,47,miss,low
independent,140311_1551,5,4,blue,2,47,miss,low
independent,140311_1551,6,4,blue,3,47,miss,low
independent,140311_1551,7,4,blue,3,47,miss,low
independent,140311_1551,8,4,blue,3,47,miss,low
independent,140311_1551,9,4,blue,6,47,miss,low
independent,140311_1551,2,5,yellow,6,26,hit,high
independent,140311_1551,3,5,yellow,3,26,hit,high
independent,140311_1551,4,5,yellow,6,26,hit,high
independent,140311_1551,5,5,yellow,2,26,hit,high
independent,140311_1551,6,5,yellow,5,26,hit,high
independent,140311_1551,7,5,yellow,2,26,hit,high
independent,140311_1551,8,5,yellow,5,26,hit,high
independent,140311_1551,9,5,yellow,6,26,hit,high
